targetId,comparatorId,outcomeId,outcomeName,type
132,163,378256,Abnormal reflex,outcome
132,163,4218106,Alcoholism,outcome
132,163,317585,Aortic aneurysm,outcome
132,163,440424,Aphasia,outcome
132,163,439237,Assault,outcome
132,163,378424,Astigmatism,outcome
132,163,261880,Atelectasis,outcome
132,163,134118,Atrophic condition of skin,outcome
132,163,4224118,Bladder dysfunction,outcome
132,163,80509,Bone cyst,outcome
132,163,434626,Borderline personality disorder,outcome
132,163,438407,Bulimia nervosa,outcome
132,163,134765,Cachexia,outcome
132,163,4172458,Candidiasis of skin,outcome
132,163,436740,Cervical incompetence,outcome
132,163,381581,Chalazion,outcome
132,163,4307254,Closed fracture,outcome
132,163,4047787,Colles' fracture,outcome
132,163,198075,Condyloma acuminatum,outcome
132,163,73302,Curvature of spine,outcome
132,163,4242416,Cutis laxa,outcome
132,163,433163,Deficiency of macronutrients,outcome
132,163,4047269,Deformity of foot,outcome
132,163,133228,Dental caries,outcome
132,163,4095288,Diabetic coma with ketoacidosis,outcome
132,163,4044391,Diabetic neuropathy,outcome
132,163,443767,Diabetic oculopathy,outcome
132,163,4174977,Diabetic retinopathy,outcome
132,163,4132130,Dilatation of aorta,outcome
132,163,4147672,Disease due to Papilloma virus,outcome
132,163,4153380,Disorder of carotid artery,outcome
132,163,4140510,Disorder of lymphatic vessel,outcome
132,163,433440,Dysthymia,outcome
132,163,376132,Ectropion,outcome
132,163,440695,Encopresis,outcome
132,163,438872,Excessive eating - polyphagia,outcome
132,163,78804,Fibrocystic disease of breast,outcome
132,163,4131595,Fracture of radius,outcome
132,163,74855,Genital herpes simplex,outcome
132,163,441788,Human papilloma virus infection,outcome
132,163,76737,Hydrocele,outcome
132,163,4029582,Hyperandrogenization syndrome,outcome
132,163,195212,Hypercortisolism,outcome
132,163,438134,Hypersomnia,outcome
132,163,45768449,Hypertensive crisis,outcome
132,163,140362,Hypoparathyroidism,outcome
132,163,4322737,Infection of tooth,outcome
132,163,4207688,Infectious enteritis,outcome
132,163,79072,Inflammatory disorder of breast,outcome
132,163,139099,Ingrowing nail,outcome
132,163,4288544,Inguinal hernia,outcome
132,163,444191,Injury of face,outcome
132,163,444130,Injury of foot,outcome
132,163,134222,Injury of forearm,outcome
132,163,4029966,Intracranial aneurysm,outcome
132,163,437409,Intracranial injury,outcome
132,163,4297984,Local infection of wound,outcome
132,163,4018050,Localized infection,outcome
132,163,439840,Lymphangitis,outcome
132,163,4163232,Mastitis,outcome
132,163,440389,Mental retardation,outcome
132,163,436100,Narcolepsy,outcome
132,163,4262178,Neurogenic dysfunction of the urinary bladder,outcome
132,163,193874,Nocturnal enuresis,outcome
132,163,4171549,Nodular goiter,outcome
132,163,442274,Oligomenorrhea,outcome
132,163,4215978,Onychomycosis,outcome
132,163,4171915,Orchitis,outcome
132,163,380731,Otitis externa,outcome
132,163,378160,Otorrhea,outcome
132,163,192606,Paraplegia,outcome
132,163,253796,Pneumothorax,outcome
132,163,195501,Polycystic ovaries,outcome
132,163,4164337,Polyp of large intestine,outcome
132,163,4153877,Post-traumatic wound infection,outcome
132,163,434319,Premature ejaculation,outcome
132,163,373478,Presbyopia,outcome
132,163,199876,Prolapse of female genital organs,outcome
132,163,4295888,Prolapse of intestine,outcome
132,163,194997,Prostatitis,outcome
132,163,4146239,Pruritus of genital organs,outcome
132,163,4285569,Pupillary disorder,outcome
132,163,81336,Rectal prolapse,outcome
132,163,380395,Retinal dystrophy,outcome
132,163,141825,Simple goiter,outcome
132,163,137054,Skin striae,outcome
132,163,434630,Sleep-wake schedule disorder,outcome
132,163,4195698,Tenosynovitis,outcome
132,163,4339088,Testicular mass,outcome
132,163,133141,Tinea pedis,outcome
132,163,440814,Torticollis,outcome
132,163,435140,Toxic effect of alcohol,outcome
132,163,4270490,Tracheitis,outcome
132,163,4028970,Tracheobronchitis,outcome
132,163,4114197,Tumor of hypothalamus,outcome
132,163,193326,Urge incontinence of urine,outcome
132,163,4092565,Uterine prolapse,outcome
132,163,140641,Verruca vulgaris,outcome
132,163,197036,Vesicoureteric reflux,outcome
132,163,133551,Vesicular eczema of hands and/or feet,outcome
132,163,4223947,"Viral hepatitis, type A",outcome
132,163,261326,Viral pneumonia,outcome
