targetId,comparatorId,outcomeId,outcomeName,type
130,161,378256,Abnormal reflex,outcome
130,161,4218106,Alcoholism,outcome
130,161,317585,Aortic aneurysm,outcome
130,161,440424,Aphasia,outcome
130,161,439237,Assault,outcome
130,161,378424,Astigmatism,outcome
130,161,261880,Atelectasis,outcome
130,161,134118,Atrophic condition of skin,outcome
130,161,4224118,Bladder dysfunction,outcome
130,161,80509,Bone cyst,outcome
130,161,434626,Borderline personality disorder,outcome
130,161,438407,Bulimia nervosa,outcome
130,161,134765,Cachexia,outcome
130,161,4172458,Candidiasis of skin,outcome
130,161,436740,Cervical incompetence,outcome
130,161,381581,Chalazion,outcome
130,161,4307254,Closed fracture,outcome
130,161,4047787,Colles' fracture,outcome
130,161,198075,Condyloma acuminatum,outcome
130,161,73302,Curvature of spine,outcome
130,161,4242416,Cutis laxa,outcome
130,161,433163,Deficiency of macronutrients,outcome
130,161,4047269,Deformity of foot,outcome
130,161,133228,Dental caries,outcome
130,161,4095288,Diabetic coma with ketoacidosis,outcome
130,161,4044391,Diabetic neuropathy,outcome
130,161,443767,Diabetic oculopathy,outcome
130,161,4174977,Diabetic retinopathy,outcome
130,161,4132130,Dilatation of aorta,outcome
130,161,4147672,Disease due to Papilloma virus,outcome
130,161,4153380,Disorder of carotid artery,outcome
130,161,4140510,Disorder of lymphatic vessel,outcome
130,161,433440,Dysthymia,outcome
130,161,376132,Ectropion,outcome
130,161,440695,Encopresis,outcome
130,161,438872,Excessive eating - polyphagia,outcome
130,161,78804,Fibrocystic disease of breast,outcome
130,161,4131595,Fracture of radius,outcome
130,161,74855,Genital herpes simplex,outcome
130,161,441788,Human papilloma virus infection,outcome
130,161,76737,Hydrocele,outcome
130,161,4029582,Hyperandrogenization syndrome,outcome
130,161,195212,Hypercortisolism,outcome
130,161,438134,Hypersomnia,outcome
130,161,45768449,Hypertensive crisis,outcome
130,161,140362,Hypoparathyroidism,outcome
130,161,4322737,Infection of tooth,outcome
130,161,4207688,Infectious enteritis,outcome
130,161,79072,Inflammatory disorder of breast,outcome
130,161,139099,Ingrowing nail,outcome
130,161,4288544,Inguinal hernia,outcome
130,161,444191,Injury of face,outcome
130,161,444130,Injury of foot,outcome
130,161,134222,Injury of forearm,outcome
130,161,4029966,Intracranial aneurysm,outcome
130,161,437409,Intracranial injury,outcome
130,161,4297984,Local infection of wound,outcome
130,161,4018050,Localized infection,outcome
130,161,439840,Lymphangitis,outcome
130,161,4163232,Mastitis,outcome
130,161,440389,Mental retardation,outcome
130,161,436100,Narcolepsy,outcome
130,161,4262178,Neurogenic dysfunction of the urinary bladder,outcome
130,161,193874,Nocturnal enuresis,outcome
130,161,4171549,Nodular goiter,outcome
130,161,442274,Oligomenorrhea,outcome
130,161,4215978,Onychomycosis,outcome
130,161,4171915,Orchitis,outcome
130,161,380731,Otitis externa,outcome
130,161,378160,Otorrhea,outcome
130,161,192606,Paraplegia,outcome
130,161,253796,Pneumothorax,outcome
130,161,195501,Polycystic ovaries,outcome
130,161,4164337,Polyp of large intestine,outcome
130,161,4153877,Post-traumatic wound infection,outcome
130,161,434319,Premature ejaculation,outcome
130,161,373478,Presbyopia,outcome
130,161,199876,Prolapse of female genital organs,outcome
130,161,4295888,Prolapse of intestine,outcome
130,161,194997,Prostatitis,outcome
130,161,4146239,Pruritus of genital organs,outcome
130,161,4285569,Pupillary disorder,outcome
130,161,81336,Rectal prolapse,outcome
130,161,380395,Retinal dystrophy,outcome
130,161,141825,Simple goiter,outcome
130,161,137054,Skin striae,outcome
130,161,434630,Sleep-wake schedule disorder,outcome
130,161,4195698,Tenosynovitis,outcome
130,161,4339088,Testicular mass,outcome
130,161,133141,Tinea pedis,outcome
130,161,440814,Torticollis,outcome
130,161,435140,Toxic effect of alcohol,outcome
130,161,4270490,Tracheitis,outcome
130,161,4028970,Tracheobronchitis,outcome
130,161,4114197,Tumor of hypothalamus,outcome
130,161,193326,Urge incontinence of urine,outcome
130,161,4092565,Uterine prolapse,outcome
130,161,140641,Verruca vulgaris,outcome
130,161,197036,Vesicoureteric reflux,outcome
130,161,133551,Vesicular eczema of hands and/or feet,outcome
130,161,4223947,"Viral hepatitis, type A",outcome
130,161,261326,Viral pneumonia,outcome
